generated_at,date,source,audit_ok,errores,warnings,info,casos,kpi_fecha_tarea_pct,kpi_expediente_pct,kpi_evento_fecha_evento_pct,kpi_cobertura_financiera_pct
2026-02-13T17:42:28.059216Z,2026-02-13,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-13T17:59:18.388156Z,2026-02-13,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-13T18:23:04.600853Z,2026-02-13,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-13T18:23:50.856552Z,2026-02-13,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-13T18:24:32.100299Z,2026-02-13,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-13T18:28:00.632834Z,2026-02-13,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-13T22:02:16.666906Z,2026-02-13,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T00:22:27.032691Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T00:22:29.633380Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T00:24:30.090904Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T00:24:32.736530Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T00:25:06.503080Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T00:25:09.172125Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T00:25:47.915700Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T00:26:11.791771Z,2026-02-14,nightly_cli,1,0,0,1,0,0.0,0.0,0.0,0.0
2026-02-14T00:26:44.559918Z,2026-02-14,nightly_cli,1,0,0,1,0,0.0,0.0,0.0,0.0
2026-02-14T00:38:19.198999Z,2026-02-14,nightly_cli,1,0,0,1,0,0.0,0.0,0.0,0.0
2026-02-14T00:38:51.834320Z,2026-02-14,nightly_cli,1,0,0,1,0,0.0,0.0,0.0,0.0
2026-02-14T00:54:03.170053Z,2026-02-14,nightly_cli,1,0,0,1,0,0.0,0.0,0.0,0.0
2026-02-14T00:54:17.621585Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T01:10:55.977359Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T01:11:24.658571Z,2026-02-14,nightly_cli,1,0,0,1,0,0.0,0.0,0.0,0.0
2026-02-14T01:19:31.388089Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T01:19:58.602201Z,2026-02-14,nightly_cli,1,0,0,1,0,0.0,0.0,0.0,0.0
2026-02-14T01:22:19.453072Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T01:23:05.958856Z,2026-02-14,nightly_cli,1,0,0,1,0,0.0,0.0,0.0,0.0
2026-02-14T01:32:20.154675Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T01:32:48.186319Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T01:33:15.865887Z,2026-02-14,nightly_cli,1,0,0,1,0,0.0,0.0,0.0,0.0
2026-02-14T01:45:15.423608Z,2026-02-14,ui_manual,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T01:52:05.878363Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T01:52:18.571084Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T01:53:25.499122Z,2026-02-14,nightly_cli,1,0,0,1,0,0.0,0.0,0.0,0.0
2026-02-14T02:33:50.021920Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T02:34:17.740487Z,2026-02-14,nightly_cli,1,0,0,1,0,0.0,0.0,0.0,0.0
2026-02-14T02:47:22.640509Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T12:28:24.146786Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T12:47:15.439461Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T12:47:27.735743Z,2026-02-14,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
2026-02-14T12:47:33.133601Z,2026-02-14,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
2026-02-14T12:49:39.029751Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T12:49:47.469384Z,2026-02-14,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
2026-02-14T12:49:51.955617Z,2026-02-14,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
2026-02-14T12:50:42.867546Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T12:50:54.596858Z,2026-02-14,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
2026-02-14T12:50:58.972097Z,2026-02-14,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
2026-02-14T12:51:44.093821Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T12:51:56.696327Z,2026-02-14,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
2026-02-14T12:52:01.059545Z,2026-02-14,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
2026-02-14T12:54:22.645435Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T12:54:42.032260Z,2026-02-14,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
2026-02-14T12:54:46.401263Z,2026-02-14,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
2026-02-14T13:00:07.523842Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T13:00:26.426217Z,2026-02-14,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
2026-02-14T13:00:30.654374Z,2026-02-14,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
2026-02-14T13:53:05.670543Z,2026-02-14,nightly_cli,0,1,41,1,43,7.0,9.3,2.3,2.3
2026-02-14T13:53:24.656183Z,2026-02-14,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
2026-02-14T13:53:28.682434Z,2026-02-14,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
2026-02-15T04:30:38.947860Z,2026-02-15,ui_auto_daily,0,2,40,1,43,7.0,9.3,2.3,2.3
2026-02-15T06:26:20.478489Z,2026-02-15,ui_manual,0,2,40,1,43,9.3,9.3,2.3,2.3
2026-02-15T06:31:35.410422Z,2026-02-15,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
2026-02-15T06:31:40.475970Z,2026-02-15,nightly_cli,1,0,0,1,1,0.0,0.0,0.0,100.0
